"audit_index","noun","disposition","severity","category","reason","recommendation"
"1","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the puppet-show image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"2","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the webcam image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"3","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the glucose-app image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"4","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the hotel or rail-service image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"5","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the speaking-woman image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"6","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the snowy-street image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"7","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the graffiti image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"8","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the footballer image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"9","[unmapped]","data-error","high","catalogue-identity","The approved decision no longer maps to any noun and sense in the current workbook, so the airline-pilot image cannot be validated or safely assigned.","Recover the historical noun and sense, migrate the approval to the current stable ID, or delete the orphaned decision."
"71","der Adressat","review","medium","semantic-mismatch","The image is a blank addressed envelope. It teaches Brief or Adresse more directly than Adressat, which is the person or organisation receiving it.","Show a delivery being handed to a clearly identified recipient, or label the recipient rather than the envelope."
"154","der/die Angehörige","review","medium","relation-not-visible","A lone generic man contains no visual cue that he is a relative and does not support the plural relatives in the accident-notification sentence.","Show several family members receiving a hospital or police notification together."
"453","der Bauklotz","data-error","medium","catalogue-identity-collision","This one approved image ID maps to two current Bauklotz workbook rows, 3816 and 3817. The audit and app cannot distinguish the duplicated entries.","Deduplicate the equivalent rows or give each intended sense a stable unique ID before approving media."
"597","das Billiglohnland","review","medium","ambiguity-and-stereotype-risk","The generic industrial park conveys neither low wages nor relocation. Pseudo-East-Asian vehicle markings risk reducing a region to a low-wage-country stereotype.","Use a neutral relocation diagram with a factory, directional arrow, countries and a clearly legible wage comparison."
"738","das Bundesland","reject","high","geography-mismatch","The image is only the outline of Germany. With no state boundaries or Bavaria highlight it can teach that Germany itself is a Bundesland.","Use a map of Germany with all federal-state boundaries and Bavaria clearly highlighted."
"1317","die Faustregel","reject","high","ai-counting-artifact","The example explicitly says eight glasses of water but the generated image contains only seven glasses.","Generate or draw exactly eight clearly separated glasses and keep the rule-of-thumb cue secondary."
"1462","der Fotoapparat","reject","medium","ai-text-artifact","The broken camera matches the sentence, but prominent generated markings imitate a camera brand and contain nonsense such as Cahon and malformed Fotoapparat or lens text.","Use a broken unbranded camera with no generated lettering."
"1599","der/die Gebildete","review","medium","stereotype-risk","The image shows a voter and uses eyeglasses as the only apparent cue for an educated person. Voting is in the sentence, but education is not actually conveyed and the shorthand is stereotyped.","Show a diverse group of graduates or people with clear education context participating in an election."
"1632","das Gehaltsniveau","review","medium","insufficient-semantic-cue","The lineup of occupations does not show pay, salary levels or variation between the professions.","Add a clear salary-scale comparison tied to several occupations without implying unsupported exact pay."
"1816","die Großen Seen","reject","high","landmark-mismatch","The scene looks like a small European inland lake or reservoir with a village and wind turbines, not the North American Great Lakes named by the headword.","Use a recognisable Great Lakes map or a verifiable sourced view identified with the lake outlines."
